map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MAL368684	MAL368684		0	0	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC247	MTIC247		6.62	6.62	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC107	MTIC107		10.61	10.61	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC84-3	MTIC84-3		23.7	23.7	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC84-1	MTIC84-1		25.21	25.21	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC84-2	MTIC84-2		29.71	29.71	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC258	MTIC258		35.63	35.63	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC441	MTIC441		39.44	39.44	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTR58	MTR58		48.19	48.19	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC447	MTIC447		55.37	55.37	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MAL369471	MAL369471		65.49	65.49	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC64	MTIC64		68.1	68.1	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC95	MTIC95		72.34	72.34	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_FMT13	FMT13		76.4	76.4	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC314	MTIC314		89.82	89.82	SSR			0	
MsJulier2003_1	1	0	95.71	MsJulier2003_1_MTIC233	MTIC233		95.71	95.71	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC21A	MTIC21A		0	0	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC19-1	MTIC19-1		3.18	3.18	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC452G	MTIC452G		9.95	9.95	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_B21E13-2	B21E13-2		16.68	16.68	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC19-2	MTIC19-2		20.21	20.21	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC210	MTIC210		21.69	21.69	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC19-3	MTIC19-3		23.07	23.07	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC354	MTIC354		23.72	23.72	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC21B	MTIC21B		25.29	25.29	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC21F	MTIC21F		26.63	26.63	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC304	MTIC304		26.84	26.84	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_B21E13-3	B21E13-3		28.64	28.64	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC21E	MTIC21E		31.08	31.08	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC452D	MTIC452D		32.7	32.7	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC12-2	MTIC12-2		37.44	37.44	SSR			0	
MsJulier2003_2	2	0	101.58	MsJulier2003_2_MTIC452E	MTIC452E		38.18	38.18	SSR			0	
