map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_TC3G01c	TC3G01c		0	0	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_TC3G01a	TC3G01a		1	1	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_pPGSSeq17E01	pPGSSeq17E01	Seq17E01	30.9	30.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_GM669	GM669		34.5	34.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_Ah3	Ah3		36	36	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_pPGSSeq13A07	pPGSSeq13A07	Seq13A07	37.1	37.1	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_pPGSSeq18G09	pPGSSeq18G09	Seq18G09	37.4	37.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_GM635b	GM635b		41.6	41.6	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_GM635a	GM635a		46.4	46.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_GM1771	GM1771		57.6	57.6	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_GM1971a	GM1971a		58.9	58.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhI	LG_AhI	0	71.6	TT_TAG24_x_ICGV86031_a_LG_AhI_GM2724	GM2724		71.6	71.6	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhII	LG_AhII	0	57.6	TT_TAG24_x_ICGV86031_a_LG_AhII_pPGPSeq2G04	pPGPSeq2G04	Seq2G04	0	0	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhII	LG_AhII	0	57.6	TT_TAG24_x_ICGV86031_a_LG_AhII_AC2C05	AC2C05		24.8	24.8	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhII	LG_AhII	0	57.6	TT_TAG24_x_ICGV86031_a_LG_AhII_PM73	PM73		36	36	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhII	LG_AhII	0	57.6	TT_TAG24_x_ICGV86031_a_LG_AhII_Ah26	Ah26		41.7	41.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhII	LG_AhII	0	57.6	TT_TAG24_x_ICGV86031_a_LG_AhII_pPGPSeq1B09	pPGPSeq1B09	Seq1B09	41.7	41.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhII	LG_AhII	0	57.6	TT_TAG24_x_ICGV86031_a_LG_AhII_PM499	PM499		41.9	41.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhII	LG_AhII	0	57.6	TT_TAG24_x_ICGV86031_a_LG_AhII_pPGSSeq18E07	pPGSSeq18E07	Seq18E07	50.2	50.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhII	LG_AhII	0	57.6	TT_TAG24_x_ICGV86031_a_LG_AhII_RI1F06	RI1F06		57.6	57.6	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_pPGSSeq9H08b	pPGSSeq9H08b	Seq9H08b	0	0	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_TC1E06	TC1E06		10.4	10.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_TC11F12	TC11F12		14.7	14.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_pPGSSeq19G07	pPGSSeq19G07	Seq19G07	62.6	62.6	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_GM1717	GM1717		82.2	82.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_pPGSSeq18A5	pPGSSeq18A5	Seq18A5	90.5	90.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_GM745	GM745		93.9	93.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_pPGSSeq15F12	pPGSSeq15F12	Seq15F12	96.4	96.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_gi-4925	gi-4925		106.2	106.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_TC2C07	TC2C07		114.7	114.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_IPAHM288	IPAHM288		117.9	117.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_GM618	GM618		137.8	137.8	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIII	LG_AhIII	0	166.3	TT_TAG24_x_ICGV86031_a_LG_AhIII_TC4G02	TC4G02		166.3	166.3	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_IPAHM287	IPAHM287		0	0	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_pPGSSeq9G05	pPGSSeq9G05	Seq9G05	10.4	10.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_pPGSSeq19D06	pPGSSeq19D06	Seq19D06	20.7	20.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_GM723b	GM723b		28.5	28.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_pPGSSeq19H03	pPGSSeq19H03	Seq19H03	33.4	33.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_PM418	PM418		51.2	51.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_PM183	PM183		57.3	57.3	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_GM657	GM657		86.1	86.1	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_IPAHM136	IPAHM136		107.9	107.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_TC1D02	TC1D02		150.3	150.3	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIV	LG_AhIV	0	181.3	TT_TAG24_x_ICGV86031_a_LG_AhIV_TC3E05	TC3E05		181.3	181.3	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_TC3A12	TC3A12		0	0	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_GM630	GM630		0.9	0.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_pPGSSeq10D04	pPGSSeq10D04	Seq10D04	6.5	6.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_RN6F05	RN6F05		7.1	7.1	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_GA35	GA35		8.8	8.8	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_GM633	GM633		8.8	8.8	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_PM179	PM179		9	9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_TC2D08	TC2D08		9.9	9.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_TC6E01	TC6E01		16.4	16.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_GM667	GM667		47.2	47.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_pPGSSeq19D01	pPGSSeq19D01	Seq19D01	75.7	75.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhV	LG_AhV	0	84.2	TT_TAG24_x_ICGV86031_a_LG_AhV_pPGSSeq18G01	pPGSSeq18G01	Seq18G01	84.2	84.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_IPAHM171	IPAHM171		0	0	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_pPGSSeq9H08a	pPGSSeq9H08a	Seq9H08a	8	8	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_S108	S108		15.3	15.3	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_TC1A01	TC1A01		15.7	15.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_PM377	PM377		25.5	25.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_IPAHM689	IPAHM689		35.7	35.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_TC1A02	TC1A02		39.4	39.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_GM623	GM623		42.3	42.3	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_RN34H10	RN34H10		42.6	42.6	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_IPAHM245	IPAHM245		48.7	48.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_TC11A04	TC11A04		62.3	62.3	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_IPAHM509	IPAHM509		89.7	89.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVI	LG_AhVI	0	93.3	TT_TAG24_x_ICGV86031_a_LG_AhVI_TC7C06	TC7C06		93.3	93.3	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_PM427	PM427		0	0	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_PM375	PM375		7	7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_LG111	LG111		8.2	8.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_Ap40	Ap40		8.8	8.8	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_GM736	GM736		10	10	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_GM629	GM629		10.8	10.8	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_S109	S109		14.5	14.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_GM2246	GM2246		17.2	17.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_GM1897	GM1897		23.1	23.1	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_GM1867	GM1867		32.1	32.1	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_GM1135	GM1135		55.4	55.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_IPAHM108B	IPAHM108B		58	58	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_pPGSSeq18C05	pPGSSeq18C05	Seq18C05	58	58	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVII	LG_AhVII	0	66.7	TT_TAG24_x_ICGV86031_a_LG_AhVII_GM1907	GM1907		66.7	66.7	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_GM698	GM698		0	0	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_pPGPSeq8H01	pPGPSeq8H01	Seq8H01	17.9	17.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_pPGPSeq3A06	pPGPSeq3A06	Seq3A06	23.1	23.1	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_IPAHM177	IPAHM177		57	57	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_IPAHM219	IPAHM219		62.9	62.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_IPAHM606	IPAHM606		63.8	63.8	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_PM419	PM419		64.2	64.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_GM2689	GM2689		64.5	64.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_GM2746	GM2746		64.5	64.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_IPAHM229	IPAHM229		64.5	64.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_IPAHM123	IPAHM123		64.8	64.8	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_PM721	PM721		65.4	65.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_GM660	GM660		66.3	66.3	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_GM679	GM679		68	68	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_IPAHM406	IPAHM406		73.5	73.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_TC9F10	TC9F10		76.6	76.6	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_TC6H03	TC6H03		77.4	77.4	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_PM733a	PM733a		79.2	79.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhVIII	LG_AhVIII	0	105.9	TT_TAG24_x_ICGV86031_a_LG_AhVIII_TC3G01b	TC3G01b		105.9	105.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIX	LG_AhIX	0	59.8	TT_TAG24_x_ICGV86031_a_LG_AhIX_pPGPSeq2B09	pPGPSeq2B09	Seq2B09	0	0	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIX	LG_AhIX	0	59.8	TT_TAG24_x_ICGV86031_a_LG_AhIX_TC5A06	TC5A06		11.5	11.5	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIX	LG_AhIX	0	59.8	TT_TAG24_x_ICGV86031_a_LG_AhIX_pPGSSeq14H06	pPGSSeq14H06	Seq14H06	16.2	16.2	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIX	LG_AhIX	0	59.8	TT_TAG24_x_ICGV86031_a_LG_AhIX_GM694	GM694		17.9	17.9	SSR			0	
TT_TAG24_x_ICGV86031_a_LG_AhIX	LG_AhIX	0	59.8	TT_TAG24_x_ICGV86031_a_LG_AhIX_PM436	PM436		21.3	21.3	SSR			0	
