map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG893966	TOG893966	soybean|TC226082	49300256	49302728	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894021	TOG894021	soybean|TC225377	5471233	5473224	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894038	TOG894038	soybean|TC215195	52633987	52637559	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894057	TOG894057	soybean|TC215954	53389713	53393321	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894063	TOG894063	medicago|TC96560	3404540	3410822	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894129	TOG894129	l_japonicus|TC11027	54543754	54546769	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894154	TOG894154	soybean|TC215406	3283710	3286852	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894317	TOG894317	soybean|TC203259	54742696	54744435	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894374	TOG894374	l_japonicus|TC18230	53057232	53060561	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894396	TOG894396	soybean|TC205454	52700823	52705913	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894414	TOG894414	l_japonicus|TC11027	54543754	54546769	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894427	TOG894427	soybean|TC216625	49830656	49834889	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894552	TOG894552	soybean|TC225865	25147664	25157049	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894774	TOG894774	medicago|TC94516	48903666	48909604	TOG			0	
GmJGI8x_Gm01	Gm01	0	55915595	GmJGI8x_Gm01_TOG894895	TOG894895	soybean|TC225707	523885	527285	TOG			0	
