map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG902462_158	Cc_TOG902462_158	TOG902462	0	0	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG905215_297	Cc_TOG905215_297	TOG905215	0	0	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG908862_1370	Cc_TOG908862_1370	TOG908862	1.3	1.3	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG913415_374	Cc_TOG913415_374	TOG913415	1.9	1.9	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG906310_85	Cc_TOG906310_85	TOG906310	2.5	2.5	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG895630_259	Cc_TOG895630_259	TOG895630	9	9	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG920390_267	Cc_TOG920390_267	TOG920390	10.3	10.3	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG894669_429	Cc_TOG894669_429	TOG894669	10.3	10.3	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG902476_248	Cc_TOG902476_248	TOG902476	10.3	10.3	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG894669_956	Cc_TOG894669_956	TOG894669	10.3	10.3	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG895666_187	Cc_TOG895666_187	TOG895666	10.9	10.9	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG903691_609	Cc_TOG903691_609	TOG903691	14.7	14.7	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG902883_74	Cc_TOG902883_74	TOG902883	14.7	14.7	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG894927_217	Cc_TOG894927_217	TOG894927	16	16	SNP			0	
CcCookUCDavis2009_CcLG01	CcLG01	0	109.8	CcCookUCDavis2009_CcLG01_Cc_TOG899071_991	Cc_TOG899071_991	TOG899071	16	16	SNP			0	
