map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS0971	AHS0971		0	0	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS3060	AHS3060		3.673	3.673	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS1991_t1	AHGS1991_t1		4.426	4.426	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AhTE0347	AhTE0347		12.488	12.488	transposon			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS2027_t1	AHGS2027_t1		14.357	14.357	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS0219	AHGS0219		19.085	19.085	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AhTE0986	AhTE0986		20.223	20.223	transposon			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS1326	AHS1326		22.929	22.929	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AhTE1030	AhTE1030		24.288	24.288	transposon			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS2206	AHS2206		25.831	25.831	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AhTE0188	AhTE0188		29.465	29.465	transposon			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS0405	AHS0405		30.407	30.407	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS2167_t1	AHGS2167_t1		31.079	31.079	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AhTE0294	AhTE0294		31.572	31.572	transposon			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS0592	AHS0592		32.252	32.252	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AhTE0543	AhTE0543		33.56	33.56	transposon			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS0441	AHS0441		34.193	34.193	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS0188	AHS0188		34.239	34.239	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS1846	AHGS1846		38.368	38.368	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_RN23A07	RN23A07		38.701	38.701	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS0205	AHS0205		39.006	39.006	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS1686	AHS1686		39.006	39.006	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS2179_t1	AHGS2179_t1		40.484	40.484	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS0122	AHGS0122		41.247	41.247	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS1443_t1	AHGS1443_t1		41.459	41.459	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS1905_t1	AHGS1905_t1		41.601	41.601	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_Ah193	Ah193		42.144	42.144	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHGS1981	AHGS1981		42.339	42.339	SSR			0	
TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01	TA01	0	102.882	TT_RunnerIAC886_x_A.ipaensis-A.duranensis_a_TA01_AHS0283	AHS0283		42.638	42.638	SSR			0	
