map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
PsWeeden2005_1	1	0	85	PsWeeden2005_1_P445	P445		0	10	RFLP			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Adh3	Adh3	Alcohol dehydrogenase 3	0	10	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Cop1	Cop1	Constitutively photomorphogenic regulatory protein	10	10	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_cDNA 267	cDNA 267		12	12	cDNA			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_c148b	c148b		12	14	cDNA			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Nod3	Nod3	Loss of nitrate suppression of nodulation	14	14	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Q407	Q407	probable ligand binding protein	14	16	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_cDNA44	cDNA44		16	16	cDNA			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Enod7	Enod7	Early nodulin 7	17	17	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Sym2	Sym2	Strain-specific nodulation	18	18	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_cDNA164	cDNA164		19	19	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Lb	Lb	Leghemoglobin	21	21	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_D	D	Disappearance of axil color	23	23	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Idh	Idh	Isocitrate dehydrogenase (NADP-specific)	26	26	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Sym19	Sym19	NORK	26	37	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_SHMT	SHMT	Serine hydroxymethyltransferase	26	37	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Enod40	Enod40	Early nodulin 40	37	37	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_ACL	ACL	ATP citrate lyase	46	46	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Alatc	Alatc	Cytosol-specific alanine aminotransferase	50	50	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Q184	Q184		50	64	EST			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_PSMPA7225	PSMPA7225	SSR A7-225	64	64	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_cDNA76	cDNA76		64	74	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_GdcH	GdcH	Glycine decarboxylase H subunit	64	74	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Lox	Lox	Lipoxygenase cluster	64	74	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_Sym10	Sym10	LysM type receptor kinase	74	74	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_PSMPB14-200	PSMPB14-200	SSR B14-200	79	79	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_CS2/2	CS2/2	 2/3,2/3,Chalcone synthase 2/2	79	83	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_I	I	Green cotyledon	83	83	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_NiR	NiR	Nitrate reductase like sequence	84	84	Marker			0	
PsWeeden2005_1	1	0	85	PsWeeden2005_1_GdhC	GdhC	Glycine decarboxylase C subunit	84	85	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_64-X29	64-X29		5	5	RBIP			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Cyp15	Cyp15	Cysteine protease,TPPA	5	13	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_O13653	O13653	Unknown protein	13	13	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Gpx	Gpx	Glutathione peroxidase	16	16	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Aatp	Aatp	plastid-specific aspartate aminotransferase	19	19	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_GdcP	GdcP	Glycine decarboxylase P subunit	19	39	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_PID5	PID5	Granule-bound starch synthase I	39	39	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_His2-6	His2-6	Histone	41	41	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_CD40	CD40	B-type legumin,LgJ	44	44	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_A	A	Anthocyanin presence	46	46	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_P482	P482	Auxin regulated protein AUX88	46	49	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_M123	M123	Glutamine synthetase	49	49	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Lf	Lf	Late flowering	51	51	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_1D04	1D04	S-adenosyl-L-methionine synthetase	51	65	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_c56/1	c56/1		51	65	EST			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_IAA4/5	IAA4/5	Auxin regulated protein	65	65	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_CLPA	CLPA	Chloroplast envelope protein	65	69	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Mdhc	Mdhc	Cry2,Malate dehydrogenase (NAD)	69	69	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Enod2	Enod2	Early nodulin 2	72	72	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_TPPB	TPPB	thioprotease B	72	79	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_His7	His7	His2A,Histone 7	72	79	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_PhyApo	PhyApo	Phytochrome apoprotein	79	79	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_L27	L27	DNA photolyase	79	84	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Sym22	Sym22	Strain specific nodulation in JI1794	84	84	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_CT16-580	CT16-580		85	85	cDNA			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Fum	Fum	Fumarase	89	89	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_P180	P180	40S ribosomal protein S18	95	95	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Z302	Z302	STS marker from RAPD	97	97	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_FTase	FTase	Farnesyl transferase beta subunit	98	98	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Mo	Mo	eIF(iso)4E,eukaryotic elongation factor 4E	99	99	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_TPP	TPP	Thioprotease PCR fragment	103	103	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Pgmp	Pgmp	Rug3,plastid-specific phosphoglucomutase	104	104	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_K	K	Compressed wings	109	109	Marker			0	
PsWeeden2005_2	2	0	124	2003	Ibfhyorp	Convicilin	109	114	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Wb	Wb	Waxless stipules	114	114	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_Q363	Q363	Sugar-starvation induced protein	115	115	Marker			0	
PsWeeden2005_2	2	0	124	PsWeeden2005_2_S	S		124	124	Marker			0	
PsWeeden2005_3	3	0	126	PsWeeden2005_3_Aat	Aat	Aspartate aminotransferase	48	48	Marker			0	
PsWeeden2005_3	3	0	126	PsWeeden2005_3_MNSOD	MNSOD	Superoxide dismutase (Mn containing)	51	51	Marker			0	
PsWeeden2005_3	3	0	126	PsWeeden2005_3_NPAC	NPAC	Nascent polypeptide associated protein alpha subunit	52	52	Marker			0	
PsWeeden2005_3	3	0	126	PsWeeden2005_3_Adh1	Adh1	Alcohol dehydrogenase 1	54	54	Marker			0	
PsWeeden2005_3	3	0	126	PsWeeden2005_3_Acp3	Acp3	Acid phosphatase 3	56	56	Marker			0	
PsWeeden2005_3	3	0	126	PsWeeden2005_3_5S RNA	5S RNA		56	66	Marker			0	
PsWeeden2005_3	3	0	126	PsWeeden2005_3_Dpo	Dpo	Dehiscent pod	66	66	Marker			0	
PsWeeden2005_3	3	0	126	PsWeeden2005_3_AD141	AD141		71	71	SSR			0	
