map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_GNB100	GNB100		0	0	SSR			0	
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_GNB76	GNB76		5.6	5.6	SSR			0	
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_GM2084	GM2084		8.4	8.4	SSR			0	
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_Ah2AC3F07-2	Ah2AC3F07-2	AC3F07-2	10.1	10.1	SSR			0	
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_GNB320-2	GNB320-2		11.7	11.7	SSR			0	
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_GNB629	GNB629		13.2	13.2	SSR			0	
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_TSWV 2-1	TSWV 2-1	qF2TSWV1	13.2	14.7	QTL_viral			0	
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_Ah3TC31G11-1	Ah3TC31G11-1	TC31G11-1	14.7	14.7	SSR			0	
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_GA161	GA161		16.9	16.9	SSR			0	
TT_Tifrunner_x_GT-C20_b_LG1	LG1	0	55.8	TT_Tifrunner_x_GT-C20_b_LG1_TSWV 2-2	TSWV 2-2	qF2TSWV2	16.9	23.9	QTL_viral			0	
