map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_PsIAA1300	PsIAA1300		70.9	70.9	Marker			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_pAtT4/8	pAtT4/8		0	0	telomere			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_Lox9/1	Lox9/1		133.7	133.7	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_AD04_1000	AD04_1000		77	77	RAPD			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_cDNA150/1	cDNA150/1		89.2	89.2	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_DR/9	DR/9		92.6	92.6	PDR1_RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_H15/5-	H15/5-		92.6	92.6	AFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_Tps1/34-	Tps1/34-		107.1	107.1	PDR1_SSAP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_c41	c41		109.8	109.8	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_SHMT	SHMT		112.4	112.4	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_cDNA206	cDNA206		117.5	117.5	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_MKX3/2-	MKX3/2-		118.2	118.2	MADS_SSAP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_D3/9-	D3/9-		122.9	122.9	AFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_cDNA267	cDNA267		6.7	6.7	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_cDNA186	cDNA186		10.3	10.3	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_Sym35	Sym35	PsNin	11.4	11.4	PCR			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_SusII1	SusII1		27.7	27.7	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_cDNA44	cDNA44		41	41	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_A7/9--	A7/9--		41.9	41.9	AFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_LhB1	LhB1		46.5	46.5	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_cDNA164	cDNA164		48.1	48.1	RFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_B5/7-	B5/7-		48.9	48.9	AFLP			0	
PsEllisJI281xJI399_1	1	0	177.5	PsEllisJI281xJI399_1_CDj1	CDj1		51.3	51.3	inter_repeat_PCR			0	
