map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_AHS0626	AHS0626		0	0	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_RN25H06	RN25H06		4.705	4.705	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_AHGS1647_a1	AHGS1647_a1		6.25	6.25	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_AHS0405	AHS0405		6.699	6.699	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_Seq16G08	Seq16G08		8.794	8.794	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_AHGS2283_a1	AHGS2283_a1		11.487	11.487	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_RN23A07	RN23A07		12.436	12.436	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_RN9A05	RN9A05		12.541	12.541	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_AHS0896	AHS0896		13.157	13.157	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_Leg463	Leg463		13.606	13.606	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_AHS1554_a1	AHS1554_a1		14.269	14.269	SSR			0	
AA_A.duranensis_x_A.stenosperma_b_AA01	AA01	0	71.827	AA_A.duranensis_x_A.stenosperma_b_AA01_AHS3158	AHS3158		14.348	14.348	SSR			0	
