map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG896852	Ca_TOG896852	TOG896852	152.1	152.1	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG910212	Ca_TOG910212	TOG910212	152.1	152.1	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG902069	Ca_TOG902069	TOG902069	152.1	152.1	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG913042	Ca_TOG913042	TOG913042	142.1	142.1	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG894880	Ca_TOG894880	TOG894880	127.3	127.3	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG901215	Ca_TOG901215	TOG901215	123.5	123.5	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca14402150174189_116	Ca14402150174189_116		123.5	123.5	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG895760	Ca_TOG895760	TOG895760	122.7	122.7	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG903079	Ca_TOG903079	TOG903079	119.4	119.4	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG905363	Ca_TOG905363	TOG905363	118.6	118.6	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG916130	Ca_TOG916130	TOG916130	117.8	117.8	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG918373	Ca_TOG918373	TOG918373	116.2	116.2	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_LG103_138	LG103_138		113.3	113.3	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG908250	Ca_TOG908250	TOG908250	113.3	113.3	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG900269	Ca_TOG900269	TOG900269	113.3	113.3	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG899751	Ca_TOG899751	TOG899751	113.3	113.3	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG895900	Ca_TOG895900	TOG895900	110	110	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG904656	Ca_TOG904656	TOG904656	110	110	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG896702	Ca_TOG896702	TOG896702	110	110	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Gm2091985_43	Gm2091985_43		110	110	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG894358	Ca_TOG894358	TOG894358	110	110	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG894965	Ca_TOG894965	TOG894965	108	108	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG899600	Ca_TOG899600	TOG899600	103.7	103.7	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG896050	Ca_TOG896050	TOG896050	103.3	103.3	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG897369	Ca_TOG897369	TOG897369	86.1	86.1	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG897884	Ca_TOG897884	TOG897884	86.1	86.1	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG894669	Ca_TOG894669	TOG894669	77.9	77.9	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG902476	Ca_TOG902476	TOG902476	77.9	77.9	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG895630	Ca_TOG895630	TOG895630	75	75	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG903813	Ca_TOG903813	TOG903813	74.2	74.2	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG903928	Ca_TOG903928	TOG903928	72.2	72.2	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG900987	Ca_TOG900987	TOG900987	71	71	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG898508	Ca_TOG898508	TOG898508	69.4	69.4	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG903939	Ca_TOG903939	TOG903939	65.2	65.2	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG913047	Ca_TOG913047	TOG913047	62.3	62.3	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG917719	Ca_TOG917719	TOG917719	61.5	61.5	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG906843	Ca_TOG906843	TOG906843	60.3	60.3	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG899130	Ca_TOG899130	TOG899130	59.1	59.1	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG918150	Ca_TOG918150	TOG918150	57.5	57.5	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG895545	Ca_TOG895545	TOG895545	57.5	57.5	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG902462	Ca_TOG902462	TOG902462	57.1	57.1	SNP			0	
CaCookUCDavis2009_CaChr3	CaChr3	0	152.1	CaCookUCDavis2009_CaChr3_Ca_TOG896744	Ca_TOG896744	TOG896744	57.1	57.1	SNP			0	
