map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_S1032HaD	S1032HaD	S1032	0	0	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_R0193EbD	R0193EbD	R0193,R0193EbC	2.4	2.4	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_R2612EbC	R2612EbC	R2612	2.4	2.4	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_S1174EaC	S1174EaC	S1174	2.4	2.4	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_Peanut root-knot nematode 2-1	Peanut root-knot nematode 2-1		20	42	QTL_nematode			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_S1118HbC	S1118HbC	S1118,S1118HbCD	36.2	36.2	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_R2545EcC	R2545EcC	R2545	60.6	60.6	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_S1147EbC	S1147EbC	S1147	67.8	67.8	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_R2095HaC	R2095HaC	R2095	67.8	67.8	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_Peanut root-knot nematode 2-3	Peanut root-knot nematode 2-3		67.9	88.8	QTL_nematode			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_R2609EbC	R2609EbC	R2609	73.4	73.4	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_R2005HaC	R2005HaC	R2005	73.4	73.4	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_R2579EaC	R2579EaC	R2579	73.4	73.4	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_R2430EaC	R2430EaC	R2430	76	76	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_R2419HdC	R2419HdC	R2419	76	76	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_RF440HaC	RF440HaC	RKN440	78.7	78.7	RFLP			0	
TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01	LG01	0	164.5	TT_Florunner_x_A.batizocoi-A.cardenasii-A.diogoi_a_LG01_Vmc3HaC	Vmc3HaC	Vmc3	82.4	82.4	RFLP			0	
