map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS2456	AHGS2456		0	0	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS1771_b1	AHGS1771_b1		1.6	1.6	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS1873	AHGS1873		9	9	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS3659	AHGS3659		9.5	9.5	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS1790_b1	AHGS1790_b1		10	10	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS2739	AHGS2739		12.6	12.6	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_Ap152	Ap152		13.4	13.4	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AhTE0426	AhTE0426		14.2	14.2	transposon			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHS2850_b2	AHS2850_b2		16.3	16.3	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS1459	AHGS1459		17.7	17.7	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS3080	AHGS3080		18.4	18.4	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHS2588	AHS2588		20.5	20.5	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_Seq19C03	Seq19C03		23.9	23.9	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS1726	AHGS1726		25.3	25.3	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS1821	AHGS1821		25.3	25.3	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS1516	AHGS1516		28.3	28.3	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_Seq4A06	Seq4A06		30.3	30.3	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS2228_b1	AHGS2228_b1		32.3	32.3	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHS2205	AHS2205		34	34	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_Ad95D07	Ad95D07	Ad95D7_2#	44.4	44.4	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS1302	AHGS1302		50.6	50.6	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHS0449	AHS0449		51.7	51.7	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHS1107	AHS1107		54	54	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS2332	AHGS2332		55.7	55.7	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS2019	AHGS2019		57.5	57.5	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_AHGS2507	AHGS2507		58.1	58.1	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_Seq12B02	Seq12B02	Seq12B2	71.4	71.4	SSR			0	
BB_A.ipaensis_x_A.magna_b_B01	B01	0	81.3	BB_A.ipaensis_x_A.magna_b_B01_seq8G5	seq8G5		81.3	81.3	SSR			0	
