map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_ICGS44_x_ICGS76_a_LG01	LG01	0	19.5	TT_ICGS44_x_ICGS76_a_LG01_GM1959	GM1959		0	0	SSR			0	
TT_ICGS44_x_ICGS76_a_LG01	LG01	0	19.5	TT_ICGS44_x_ICGS76_a_LG01_IPAHM97	IPAHM97		8.1	8.1	SSR			0	
TT_ICGS44_x_ICGS76_a_LG01	LG01	0	19.5	TT_ICGS44_x_ICGS76_a_LG01_S11	S11		9.7	9.7	SSR			0	
TT_ICGS44_x_ICGS76_a_LG01	LG01	0	19.5	TT_ICGS44_x_ICGS76_a_LG01_GM1445	GM1445		19.5	19.5	SSR			0	
TT_ICGS44_x_ICGS76_a_LG02	LG02	0	52.4	TT_ICGS44_x_ICGS76_a_LG02_pPGPSeq1B09	pPGPSeq1B09	Seq1B09	0	0	SSR			0	
TT_ICGS44_x_ICGS76_a_LG02	LG02	0	52.4	TT_ICGS44_x_ICGS76_a_LG02_TC4F12	TC4F12		2.9	2.9	SSR			0	
TT_ICGS44_x_ICGS76_a_LG02	LG02	0	52.4	TT_ICGS44_x_ICGS76_a_LG02_IPAHM254	IPAHM254		3.4	3.4	SSR			0	
TT_ICGS44_x_ICGS76_a_LG02	LG02	0	52.4	TT_ICGS44_x_ICGS76_a_LG02_GM695	GM695		4.8	4.8	SSR			0	
TT_ICGS44_x_ICGS76_a_LG02	LG02	0	52.4	TT_ICGS44_x_ICGS76_a_LG02_GM1469	GM1469		52.4	52.4	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_PM3	PM3		0	0	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_pPGSSeq19G07	pPGSSeq19G07	Seq19G07	15.4	15.4	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_PM434	PM434		23.2	23.2	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_GM745	GM745		26.6	26.6	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_IPAHM288	IPAHM288		34.3	34.3	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_PM238	PM238		34.3	34.3	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_TC2C07	TC2C07		34.7	34.7	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_TC11F12	TC11F12		40	40	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_GM2528	GM2528		57.7	57.7	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_TC4G02	TC4G02		70	70	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_GM1954	GM1954		75.3	75.3	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_TC7E04	TC7E04		88.6	88.6	SSR			0	
TT_ICGS44_x_ICGS76_a_LG03	LG03	0	93.1	TT_ICGS44_x_ICGS76_a_LG03_IPAHM103	IPAHM103		93.1	93.1	SSR			0	
TT_ICGS44_x_ICGS76_a_LG04	LG04	0	102.8	TT_ICGS44_x_ICGS76_a_LG04_TC3E05	TC3E05		0	0	SSR			0	
TT_ICGS44_x_ICGS76_a_LG04	LG04	0	102.8	TT_ICGS44_x_ICGS76_a_LG04_GM2032	GM2032		30.4	30.4	SSR			0	
TT_ICGS44_x_ICGS76_a_LG04	LG04	0	102.8	TT_ICGS44_x_ICGS76_a_LG04_GM1483	GM1483		51.8	51.8	SSR			0	
TT_ICGS44_x_ICGS76_a_LG04	LG04	0	102.8	TT_ICGS44_x_ICGS76_a_LG04_GM723	GM723		102.8	102.8	SSR			0	
TT_ICGS44_x_ICGS76_a_LG05	LG05	0	57	TT_ICGS44_x_ICGS76_a_LG05_IPAHM356	IPAHM356		0	0	SSR			0	
TT_ICGS44_x_ICGS76_a_LG05	LG05	0	57	TT_ICGS44_x_ICGS76_a_LG05_TC3A12	TC3A12		5.1	5.1	SSR			0	
TT_ICGS44_x_ICGS76_a_LG05	LG05	0	57	TT_ICGS44_x_ICGS76_a_LG05_PM45	PM45		5.1	5.1	SSR			0	
TT_ICGS44_x_ICGS76_a_LG05	LG05	0	57	TT_ICGS44_x_ICGS76_a_LG05_pPGSSeq19E09	pPGSSeq19E09	Seq19E09	7.1	7.1	SSR			0	
TT_ICGS44_x_ICGS76_a_LG05	LG05	0	57	TT_ICGS44_x_ICGS76_a_LG05_GM1577	GM1577		8.7	8.7	SSR			0	
TT_ICGS44_x_ICGS76_a_LG05	LG05	0	57	TT_ICGS44_x_ICGS76_a_LG05_PM36	PM36		8.7	8.7	SSR			0	
TT_ICGS44_x_ICGS76_a_LG05	LG05	0	57	TT_ICGS44_x_ICGS76_a_LG05_TC6E01	TC6E01		9.6	9.6	SSR			0	
