map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AL22a	AL22a		0	0	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AW140	AW140		3.53	3.53	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_Mt4F06	Mt4F06		5.27	5.27	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AW199	AW199		5.77	5.77	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_MtBC01G06F3	MtBC01G06F3		7.27	7.27	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_MTIC95	MTIC95		9.03	9.03	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BE152	BE152		10.44	10.44	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AL22b	AL22b		10.44	10.44	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BG87	BG87		11.19	11.19	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_MtBC54H07F1	MtBC54H07F1		11.39	11.39	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BI26	BI26		12.36	12.36	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BG249	BG249		12.36	12.36	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AW146	AW146		12.75	12.75	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AW11	AW11		14.15	14.15	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_FMT13	FMT13		15.16	15.16	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BI54	BI54		18.19	18.19	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AW16	AW16		19.59	19.59	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BF26	BF26		19.67	19.67	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_Mt1H03	Mt1H03		19.79	19.79	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AW23	AW23		19.84	19.84	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BF42	BF42		19.9	19.9	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AL32	AL32		21.17	21.17	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BE105	BE105		21.49	21.49	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BE131	BE131		22.79	22.79	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AW86	AW86		22.92	22.92	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BE93	BE93		24.6	24.6	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BE90	BE90		24.61	24.61	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BE68	BE68		25.23	25.23	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AW692172	AW692172		25.76	25.76	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AJ01	AJ01		26.09	26.09	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AL116	AL116		26.13	26.13	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BG137	BG137		26.19	26.19	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_MTR58	MTR58		27.01	27.01	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BI105	BI105		27.8	27.8	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BE103	BE103		28.14	28.14	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AL62	AL62		29.69	29.69	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BG15	BG15		38.59	38.59	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BG208	BG208		39.91	39.91	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BG234	BG234		41.4	41.4	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_MTIC447	MTIC447		43.93	43.93	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_MTIC84	MTIC84		50.39	50.39	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_MtBB30E02F1	MtBB30E02F1		66.81	66.81	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_AW365	AW365		67.87	67.87	SSR			0	
MsSledge2005_1	1	0	77.93	MsSledge2005_1_BI89	BI89		77.93	77.93	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_Mt1D06	Mt1D06		1.02	1.02	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_Mt1G05(4)	Mt1G05(4)		11.38	11.38	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_BG105	BG105		16.07	16.07	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_AW172	AW172		2.26	2.26	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_BF111	BF111		8.64	8.64	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_BF103	BF103		19.37	19.37	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_AL25a	AL25a		52.33	52.33	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_BG280	BG280		64.86	64.86	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_TC11392	TC11392		68.62	68.62	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_AW101	AW101		69.74	69.74	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_AW300	AW300		70.44	70.44	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_BE129	BE129		72.95	72.95	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_AL19	AL19		76.34	76.34	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_MTIC452	MTIC452		77.27	77.27	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_BI131	BI131		79.33	79.33	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_Mt1A05	Mt1A05		82.14	82.14	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_AL25b	AL25b		95.58	95.58	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_AW310	AW310		44.99	44.99	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_Mt1C12	Mt1C12		62.12	62.12	SSR			0	
MsSledge2005_2	2	0	133.73	MsSledge2005_2_BG94	BG94		68	68	SSR			0	
