map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM1187	GM1187		0	0	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM1565	GM1565		21.1	21.1	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM1531	GM1531		36.3	36.3	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM2233	GM2233		42.8	42.8	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM687	GM687		45.7	45.7	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_pPGSseq13A07	pPGSseq13A07		46.1	46.1	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM1090	GM1090		59.6	59.6	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM1501	GM1501		72.3	72.3	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM1771	GM1771		84.2	84.2	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM2724a	GM2724a		85.1	85.1	SSR			0	
TT_TAG24_x_GPBD4_a_AhI	AhI	0	89.6	TT_TAG24_x_GPBD4_a_AhI_GM1971a	GM1971a		89.6	89.6	SSR			0	
TT_TAG24_x_GPBD4_a_AhII	AhII	0	73.3	TT_TAG24_x_GPBD4_a_AhII_TC1E01	TC1E01		0	0	SSR			0	
TT_TAG24_x_GPBD4_a_AhII	AhII	0	73.3	TT_TAG24_x_GPBD4_a_AhII_PM73	PM73		11.3	11.3	SSR			0	
TT_TAG24_x_GPBD4_a_AhII	AhII	0	73.3	TT_TAG24_x_GPBD4_a_AhII_pPGPseq2D12B	pPGPseq2D12B		32	32	SSR			0	
TT_TAG24_x_GPBD4_a_AhII	AhII	0	73.3	TT_TAG24_x_GPBD4_a_AhII_TC9F04	TC9F04		48.2	48.2	SSR			0	
TT_TAG24_x_GPBD4_a_AhII	AhII	0	73.3	TT_TAG24_x_GPBD4_a_AhII_TC1B02	TC1B02		67	67	SSR			0	
TT_TAG24_x_GPBD4_a_AhII	AhII	0	73.3	TT_TAG24_x_GPBD4_a_AhII_pPGSseq18E07	pPGSseq18E07		73.3	73.3	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_TC7E04	TC7E04		0	0	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_GM2691	GM2691		27.2	27.2	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_pPGSseq19D09	pPGSseq19D09		57.7	57.7	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_pPGSseq19G07	pPGSseq19G07		82.2	82.2	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_GM1717	GM1717		91.8	91.8	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_GM745	GM745		92.5	92.5	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_pPGSseq18A05	pPGSseq18A05		92.5	92.5	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_pPGSseq18A05b	pPGSseq18A05b		92.5	92.5	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_Ah-4-04	Ah-4-04		94	94	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_AC3D07	AC3D07		94.5	94.5	SSR			0	
TT_TAG24_x_GPBD4_a_AhIII	AhIII	0	165.8	TT_TAG24_x_GPBD4_a_AhIII_PM3	PM3		97.7	97.7	SSR			0	
