map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG902975_95	TOG902975_95		0	0	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c1383_590	DS_c1383_590	SNP370	4.4	4.4	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c4214_1102	DS_c4214_1102	SNP716	4.4	4.4	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c9263_191	DS_c9263_191	SNP1035	4.4	4.4	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TC2E05	TC2E05		5.3	5.3	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c1562_542	DS_c1562_542	SNP415	11.4	11.4	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c17603_90	DS_c17603_90	SNP454	17.4	17.4	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG905517_157	TOG905517_157		20.3	20.3	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_RN25H06	RN25H06		22.1	22.1	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c13546_273	DS_c13546_273	SNP363	22.7	22.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG897646	TOG897646	SNP78	22.7	22.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG897646_500	TOG897646_500		22.7	22.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c5189_186	DS_c5189_186	SNP797	24.6	24.6	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c21594_45	DS_c21594_45	SNP514	25.8	25.8	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG894141_355	TOG894141_355		28.1	28.1	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c2443_410	DS_c2443_410	SNP555	28.8	28.8	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c2532_722	DS_c2532_722	SNP565	29.4	29.4	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG897306	TOG897306	SNP73	29.4	29.4	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_RN23A07	RN23A07		29.4	29.4	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_RN9A05	RN9A05		29.4	29.4	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_Seq16G8	Seq16G8		29.4	29.4	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG899506_248	TOG899506_248		30	30	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_Leg463_1	Leg463_1		30	30	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c1095_330	DS_c1095_330	SNP271	32.6	32.6	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c11080_157	DS_c11080_157	SNP278	32.6	32.6	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c19099_261	DS_c19099_261	SNP484	32.6	32.6	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c17991_98	DS_c17991_98	SNP460	33.2	33.2	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c18644_173	DS_c18644_173	SNP471	33.2	33.2	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_Ah-193	Ah-193		37.6	37.6	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TC20D05	TC20D05		42.5	42.5	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c761_64	DS_c761_64	SNP947	43.3	43.3	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_Leg047	Leg047		43.6	43.6	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG900261_468	TOG900261_468		43.9	43.9	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c2286_201	DS_c2286_201	SNP536	44.5	44.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c5807_604	DS_c5807_604	SNP846	44.5	44.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c5813_1008	DS_c5813_1008	SNP848	44.5	44.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG894987_466	TOG894987_466	SNP19	44.5	44.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG895242_363	TOG895242_363		44.5	44.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG897648_127	TOG897648_127		44.5	44.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG899544_615	TOG899544_615		44.5	44.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG901547_499	TOG901547_499		44.5	44.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG894987	TOG894987		45.1	45.1	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_Ah21	Ah21		45.7	45.7	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_Leg178	Leg178		45.7	45.7	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_Leg304	Leg304		45.7	45.7	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG894747_278	TOG894747_278		47.4	47.4	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG895455_422	TOG895455_422		47.4	47.4	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG896615_1035	TOG896615_1035		48.2	48.2	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG896615_1198	TOG896615_1198		48.2	48.2	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c4584_63	DS_c4584_63	SNP747	49.6	49.6	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG895199_183	TOG895199_183		49.6	49.6	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG899072_169	TOG899072_169		49.6	49.6	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG901908_683	TOG901908_683		50.5	50.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_RGA16	RGA16		52.8	52.8	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c5353_469	DS_c5353_469	SNP808	55	55	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG901037_411	TOG901037_411		55	55	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG896390_652	TOG896390_652		57.7	57.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c13239_201	DS_c13239_201	SNP355	58.5	58.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c6084_79	DS_c6084_79	SNP866	58.5	58.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG961504	TOG961504	SNP236	58.5	58.5	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_Seq2H11	Seq2H11		58.5	58.5	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG902998	TOG902998	SNP148	59.3	59.3	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG902998_510	TOG902998_510		60.6	60.6	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c9674_219	DS_c9674_219	SNP1056	63.7	63.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_GM635a	GM635a		63.7	63.7	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG910796_419	TOG910796_419		64.7	64.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG910796_582	TOG910796_582		64.7	64.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG931720_758	TOG931720_758		64.7	64.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG895237_630	TOG895237_630		65.7	65.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c1206_610	DS_c1206_610	SNP307	67.8	67.8	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_Seq3B5	Seq3B5		67.8	67.8	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TC27H12	TC27H12		67.8	67.8	SSR			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c4560_244	DS_c4560_244	SNP744	68.7	68.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG943467_311	TOG943467_311		68.7	68.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG896530_562	TOG896530_562		71.6	71.6	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_TOG896530	TOG896530	SNP52	72.8	72.8	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c1301_572	DS_c1301_572	SNP345	74.7	74.7	SNP			0	
AA_A.duranensis_x_A.stenosperma_d_A01	A01	0	86.4	AA_A.duranensis_x_A.stenosperma_d_A01_DS_c4065_840	DS_c4065_840	SNP706	74.7	74.7	SNP			0	
