map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_GM1565	GM1565		0	0	SSR			0	
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_GM2308	GM2308		5.5	5.5	SSR			0	
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_IPAHM287	IPAHM287		20.9	20.9	SSR			0	
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_GM1531	GM1531		33.2	33.2	SSR			0	
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_GM2233	GM2233		41.9	41.9	SSR			0	
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_pPGSseq13A07	pPGSseq13A07		54.6	54.6	SSR			0	
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_GM1090	GM1090		61.5	61.5	SSR			0	
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_GM1771	GM1771		85.9	85.9	SSR			0	
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_GM1971a	GM1971a		87.1	87.1	SSR			0	
TT_TG26_x_GPBD4_a_AhI	AhI	0	87.1	TT_TG26_x_GPBD4_a_AhI_GM2724a	GM2724a		87.1	87.1	SSR			0	
TT_TG26_x_GPBD4_a_AhII	AhII	0	85.5	TT_TG26_x_GPBD4_a_AhII_PM73	PM73		0	0	SSR			0	
TT_TG26_x_GPBD4_a_AhII	AhII	0	85.5	TT_TG26_x_GPBD4_a_AhII_PM499	PM499		15.3	15.3	SSR			0	
TT_TG26_x_GPBD4_a_AhII	AhII	0	85.5	TT_TG26_x_GPBD4_a_AhII_pPGPseq1B09	pPGPseq1B09		17.1	17.1	SSR			0	
TT_TG26_x_GPBD4_a_AhII	AhII	0	85.5	TT_TG26_x_GPBD4_a_AhII_pPGPseq2D12B	pPGPseq2D12B		38.5	38.5	SSR			0	
TT_TG26_x_GPBD4_a_AhII	AhII	0	85.5	TT_TG26_x_GPBD4_a_AhII_TC1B02	TC1B02		70.7	70.7	SSR			0	
TT_TG26_x_GPBD4_a_AhII	AhII	0	85.5	TT_TG26_x_GPBD4_a_AhII_pPGSseq18E07	pPGSseq18E07		85.5	85.5	SSR			0	
TT_TG26_x_GPBD4_a_AhIII.A	AhIII.A	0	20.2	TT_TG26_x_GPBD4_a_AhIII.A_TC2C07	TC2C07		0	0	SSR			0	
TT_TG26_x_GPBD4_a_AhIII.A	AhIII.A	0	20.2	TT_TG26_x_GPBD4_a_AhIII.A_IPAHM295	IPAHM295		20.2	20.2	SSR			0	
TT_TG26_x_GPBD4_a_AhIII.B	AhIII.B	0	15.1	TT_TG26_x_GPBD4_a_AhIII.B_AC3D07	AC3D07		0	0	SSR			0	
TT_TG26_x_GPBD4_a_AhIII.B	AhIII.B	0	15.1	TT_TG26_x_GPBD4_a_AhIII.B_TC0A01	TC0A01		15.1	15.1	SSR			0	
TT_TG26_x_GPBD4_a_AhIII.C	AhIII.C	0	22.7	TT_TG26_x_GPBD4_a_AhIII.C_GM1717	GM1717		0	0	SSR			0	
TT_TG26_x_GPBD4_a_AhIII.C	AhIII.C	0	22.7	TT_TG26_x_GPBD4_a_AhIII.C_pPGSseq18A05	pPGSseq18A05		2.6	2.6	SSR			0	
TT_TG26_x_GPBD4_a_AhIII.C	AhIII.C	0	22.7	TT_TG26_x_GPBD4_a_AhIII.C_GM2215	GM2215		3.5	3.5	SSR			0	
TT_TG26_x_GPBD4_a_AhIII.C	AhIII.C	0	22.7	TT_TG26_x_GPBD4_a_AhIII.C_pPGSseq13E06	pPGSseq13E06		13.6	13.6	SSR			0	
TT_TG26_x_GPBD4_a_AhIII.C	AhIII.C	0	22.7	TT_TG26_x_GPBD4_a_AhIII.C_GM2206	GM2206		22.7	22.7	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_PM418	PM418		0	0	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_PM183	PM183		8.3	8.3	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_TC11B04	TC11B04		17.9	17.9	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_GM1555	GM1555		35.8	35.8	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_IPAHM282	IPAHM282		56.3	56.3	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_PM36	PM36		57.9	57.9	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_IPAHM272	IPAHM272		61.7	61.7	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_TC1D12	TC1D12		68.6	68.6	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_pPGSseq19D06	pPGSseq19D06		81.5	81.5	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_GM1641	GM1641		98.4	98.4	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_IPAHM75	IPAHM75		109.9	109.9	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_GM2084	GM2084		116.2	116.2	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_IPAHM352	IPAHM352		120	120	SSR			0	
TT_TG26_x_GPBD4_a_AhIV	AhIV	0	136.2	TT_TG26_x_GPBD4_a_AhIV_TC1G04	TC1G04		136.2	136.2	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_GM1878	GM1878		0	0	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_IPAHM356	IPAHM356		6.4	6.4	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_GM1577	GM1577		11.3	11.3	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_TC3A12	TC3A12		17.4	17.4	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_TC2B09	TC2B09		19.4	19.4	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_GM1955	GM1955		38.6	38.6	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_GM1007	GM1007		62.1	62.1	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_PM179	PM179		65.3	65.3	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_TC6E01	TC6E01		81.8	81.8	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_RN16F05	RN16F05		116.1	116.1	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_GM1988	GM1988		143.1	143.1	SSR			0	
TT_TG26_x_GPBD4_a_AhV	AhV	0	149.7	TT_TG26_x_GPBD4_a_AhV_GM1989	GM1989		149.7	149.7	SSR			0	
TT_TG26_x_GPBD4_a_AhVI	AhVI	0	84.9	TT_TG26_x_GPBD4_a_AhVI_IPAHM171c	IPAHM171c		0	0	SSR			0	
