map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR008C22	AR008C22	AHT1B5RGH008-C22	14338	14423	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR003K23	AR003K23	AHT1B5RGH003-K23	5955	6064	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR003G03	AR003G03	AHT1B5RGH003-G3	5512	5606	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR011J04	AR011J04	AHT1B5RGH011-J4	24110	24188	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR002I11	AR002I11	AHT1B5RGH002-I11	3984	4083	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR002N06	AR002N06	AHT1B5RGH002-N6	4598	4691	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR001E12	AR001E12	AHT1B5RGH001-E12	1011	1068	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR001J19	AR001J19	AHT1B5RGH001-J19	1702	1805	GenomicClone_ActiveFinishing			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR010E16	AR010E16	AHT1B5RGH010-E16	19831	19900	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR009C04	AR009C04	AHT1B5RGH009-C4	16133	16198	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR011F08	AR011F08	AHT1B5RGH011-F8	23466	23527	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR001I03	AR001I03	AHT1B5RGH001-I3	1474	1527	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR004J20	AR004J20	AHT1B5RGH004-J20	8073	8140	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR010F19	AR010F19	AHT1B5RGH010-F19	20300	20354	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR002A01	AR002A01	AHT1B5RGH002-A1	2630	2705	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR003J20	AR003J20	AHT1B5RGH003-J20	5796	5857	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR009G14	AR009G14	AHT1B5RGH009-G14	16709	16764	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR010M20	AR010M20	AHT1B5RGH010-M20	21604	21672	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR005N12	AR005N12	AHT1B5RGH005-N12	10707	10783	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR010D02	AR010D02	AHT1B5RGH010-D2	19021	19104	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR001L07	AR001L07	AHT1B5RGH001-L7	1875	1963	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR004J12	AR004J12	AHT1B5RGH004-J12	8026	8073	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR003L14	AR003L14	AHT1B5RGH003-L14	6112	6151	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR009N15	AR009N15	AHT1B5RGH009-N15	17646	17701	Clone			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR007N02	AR007N02	AHT1B5RGH007-N2	13757	13818	GenomicClone_ActiveFinishing			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR006J08	AR006J08	AHT1B5RGH006-J8	11574	11669	GenomicClone_Finished			0	
AhCookUCDavisRGHHyb2009_FPC_Contig0	FPC_Contig0	0	25542	AhCookUCDavisRGHHyb2009_FPC_Contig0_AR003E15	AR003E15	AHT1B5RGH003-E15	5316	5408	GenomicClone_Finished			0	
