map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_Tifrunner_x_GT-C20_a_LGT1	LGT1	0	26	TT_Tifrunner_x_GT-C20_a_LGT1_Seq8E12-200	Seq8E12-200		0	0	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT1	LGT1	0	26	TT_Tifrunner_x_GT-C20_a_LGT1_TC3H02-400	TC3H02-400		11.7	11.7	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT1	LGT1	0	26	TT_Tifrunner_x_GT-C20_a_LGT1_TSWV 2-16	TSWV 2-16	qF5TSWV1	11.7	26	QTL_viral			0	
TT_Tifrunner_x_GT-C20_a_LGT1	LGT1	0	26	TT_Tifrunner_x_GT-C20_a_LGT1_TC3H02-410	TC3H02-410		15	15	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT1	LGT1	0	26	TT_Tifrunner_x_GT-C20_a_LGT1_Seq14A7-300	Seq14A7-300		26	26	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_GM692-300	GM692-300		0	0	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_RM11H1-300	RM11H1-300		12.9	12.9	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_ARS775-290	ARS775-290		21.3	21.3	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_ARS812-230	ARS812-230		26.5	26.5	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_ARS785-800	ARS785-800		28.6	28.6	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_ARS798-750	ARS798-750		30.7	30.7	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_ARS773-200	ARS773-200		32.6	32.6	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_IPAHM352-250	IPAHM352-250		34.5	34.5	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_IPAHM75-230	IPAHM75-230		36.9	36.9	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_Seq11D4-195	Seq11D4-195		41.2	41.2	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_GM2411-450	GM2411-450		44.4	44.4	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT10	LGT10	0	72.2	TT_Tifrunner_x_GT-C20_a_LGT10_GM1738-1400	GM1738-1400		72.2	72.2	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT11	LGT11	0	50.3	TT_Tifrunner_x_GT-C20_a_LGT11_GM2724-110	GM2724-110		0	0	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT11	LGT11	0	50.3	TT_Tifrunner_x_GT-C20_a_LGT11_GM1971-95	GM1971-95	GM1971-100	9.8	9.8	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT11	LGT11	0	50.3	TT_Tifrunner_x_GT-C20_a_LGT11_Ah3-200	Ah3-200		17.7	17.7	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT11	LGT11	0	50.3	TT_Tifrunner_x_GT-C20_a_LGT11_Seq8E12-190	Seq8E12-190		20.3	20.3	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT11	LGT11	0	50.3	TT_Tifrunner_x_GT-C20_a_LGT11_GM2606-100	GM2606-100		23.7	23.7	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT11	LGT11	0	50.3	TT_Tifrunner_x_GT-C20_a_LGT11_Ah11-185	Ah11-185		27.4	27.4	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT11	LGT11	0	50.3	TT_Tifrunner_x_GT-C20_a_LGT11_ARS756-340	ARS756-340	GNB619-340	31.2	31.2	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT11	LGT11	0	50.3	TT_Tifrunner_x_GT-C20_a_LGT11_TSWV 2-21	TSWV 2-21	qF5TSWV5	31.2	50.3	QTL_viral			0	
TT_Tifrunner_x_GT-C20_a_LGT11	LGT11	0	50.3	TT_Tifrunner_x_GT-C20_a_LGT11_GM2607-90	GM2607-90		50.3	50.3	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT12	LGT12	0	15.2	TT_Tifrunner_x_GT-C20_a_LGT12_Seq14G03-500	Seq14G03-500		0	0	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT12	LGT12	0	15.2	TT_Tifrunner_x_GT-C20_a_LGT12_TSWV 2-22	TSWV 2-22	qF5TSWV6	0	15.2	QTL_viral			0	
TT_Tifrunner_x_GT-C20_a_LGT12	LGT12	0	15.2	TT_Tifrunner_x_GT-C20_a_LGT12_GM2808-400	GM2808-400		15.2	15.2	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT13	LGT13	0	91.4	TT_Tifrunner_x_GT-C20_a_LGT13_GM2009-100	GM2009-100		0	0	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT13	LGT13	0	91.4	TT_Tifrunner_x_GT-C20_a_LGT13_IPAHM103-160	IPAHM103-160		13.1	13.1	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT13	LGT13	0	91.4	TT_Tifrunner_x_GT-C20_a_LGT13_GM1954-135	GM1954-135		27.2	27.2	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT13	LGT13	0	91.4	TT_Tifrunner_x_GT-C20_a_LGT13_TC4G02-190	TC4G02-190		36.6	36.6	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT13	LGT13	0	91.4	TT_Tifrunner_x_GT-C20_a_LGT13_Seq16F1-400	Seq16F1-400		47.5	47.5	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT13	LGT13	0	91.4	TT_Tifrunner_x_GT-C20_a_LGT13_GM1996-130	GM1996-130		66.6	66.6	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT13	LGT13	0	91.4	TT_Tifrunner_x_GT-C20_a_LGT13_PM238-155	PM238-155		75.9	75.9	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT13	LGT13	0	91.4	TT_Tifrunner_x_GT-C20_a_LGT13_GM2388-215	GM2388-215		81.8	81.8	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT13	LGT13	0	91.4	TT_Tifrunner_x_GT-C20_a_LGT13_ARS788-295	ARS788-295		91.4	91.4	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT14	LGT14	0	53.9	TT_Tifrunner_x_GT-C20_a_LGT14_Seq15C12-285	Seq15C12-285		0	0	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT14	LGT14	0	53.9	TT_Tifrunner_x_GT-C20_a_LGT14_IPAHM105-420	IPAHM105-420		13.8	13.8	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT14	LGT14	0	53.9	TT_Tifrunner_x_GT-C20_a_LGT14_IPAHM108-900	IPAHM108-900		21.4	21.4	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT14	LGT14	0	53.9	TT_Tifrunner_x_GT-C20_a_LGT14_GM2033-150	GM2033-150		31.5	31.5	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT14	LGT14	0	53.9	TT_Tifrunner_x_GT-C20_a_LGT14_GM1959-185	GM1959-185		36.5	36.5	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT14	LGT14	0	53.9	TT_Tifrunner_x_GT-C20_a_LGT14_IPAHM219-200	IPAHM219-200		38	38	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT14	LGT14	0	53.9	TT_Tifrunner_x_GT-C20_a_LGT14_Seq14D11-180	Seq14D11-180		39.6	39.6	SSR			0	
TT_Tifrunner_x_GT-C20_a_LGT14	LGT14	0	53.9	TT_Tifrunner_x_GT-C20_a_LGT14_Late and Early leaf spot 1-46	Late and Early leaf spot 1-46	qF5LS8	39.6	42.8	QTL_fungal			0	
TT_Tifrunner_x_GT-C20_a_LGT14	LGT14	0	53.9	TT_Tifrunner_x_GT-C20_a_LGT14_IPAHM451-300	IPAHM451-300		42.8	42.8	SSR			0	
