map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_ICGS76_x_CSMG84-1_a_LG01	LG01	0	204.1	TT_ICGS76_x_CSMG84-1_a_LG01_GM1771	GM1771		0	0	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG01	LG01	0	204.1	TT_ICGS76_x_CSMG84-1_a_LG01_GM2724b	GM2724b		8.8	8.8	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG01	LG01	0	204.1	TT_ICGS76_x_CSMG84-1_a_LG01_S54	S54		18.7	18.7	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG01	LG01	0	204.1	TT_ICGS76_x_CSMG84-1_a_LG01_GM1599	GM1599		51	51	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG01	LG01	0	204.1	TT_ICGS76_x_CSMG84-1_a_LG01_Ah490	Ah490		104.6	104.6	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG01	LG01	0	204.1	TT_ICGS76_x_CSMG84-1_a_LG01_Ah3	Ah3		150.3	150.3	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG01	LG01	0	204.1	TT_ICGS76_x_CSMG84-1_a_LG01_GM1899	GM1899		204.1	204.1	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG02	LG02	0	63.5	TT_ICGS76_x_CSMG84-1_a_LG02_RNoX681	RNoX681		0	0	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG02	LG02	0	63.5	TT_ICGS76_x_CSMG84-1_a_LG02_IPAHM596	IPAHM596		24.3	24.3	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG02	LG02	0	63.5	TT_ICGS76_x_CSMG84-1_a_LG02_IPAHM254	IPAHM254		45.6	45.6	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG02	LG02	0	63.5	TT_ICGS76_x_CSMG84-1_a_LG02_PM499	PM499		48.6	48.6	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG02	LG02	0	63.5	TT_ICGS76_x_CSMG84-1_a_LG02_TC1E01	TC1E01		63.5	63.5	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG03	LG03	0	14	TT_ICGS76_x_CSMG84-1_a_LG03_GM745	GM745		0	0	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG03	LG03	0	14	TT_ICGS76_x_CSMG84-1_a_LG03_TC4G02	TC4G02		14	14	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG04	LG04	0	188.6	TT_ICGS76_x_CSMG84-1_a_LG04_IPAHM287	IPAHM287		0	0	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG04	LG04	0	188.6	TT_ICGS76_x_CSMG84-1_a_LG04_PM183	PM183		23.6	23.6	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG04	LG04	0	188.6	TT_ICGS76_x_CSMG84-1_a_LG04_PM418	PM418		24.8	24.8	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG04	LG04	0	188.6	TT_ICGS76_x_CSMG84-1_a_LG04_PMc348	PMc348		46.1	46.1	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG04	LG04	0	188.6	TT_ICGS76_x_CSMG84-1_a_LG04_TC2B09	TC2B09		70.1	70.1	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG04	LG04	0	188.6	TT_ICGS76_x_CSMG84-1_a_LG04_GM723	GM723		112.3	112.3	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG04	LG04	0	188.6	TT_ICGS76_x_CSMG84-1_a_LG04_pPGSSeq9G05	pPGSSeq9G05	Seq9G05	156.5	156.5	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG04	LG04	0	188.6	TT_ICGS76_x_CSMG84-1_a_LG04_TC1D02	TC1D02		188.6	188.6	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_GM1571	GM1571		0	0	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_GM1577	GM1577		44.4	44.4	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_IPAHM356	IPAHM356		90.5	90.5	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_TC6E01	TC6E01		91.9	91.9	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_TC3A12	TC3A12		106.7	106.7	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_TC2D08	TC2D08		145.8	145.8	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_Ah4-04	Ah4-04		178.4	178.4	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_pPGSSeq17F06	pPGSSeq17F06	Seq17F06	211	211	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_gi-832	gi-832		219	219	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG05	LG05	0	238	TT_ICGS76_x_CSMG84-1_a_LG05_TC11H06	TC11H06		238	238	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG06	LG06	0	79.9	TT_ICGS76_x_CSMG84-1_a_LG06_TC1A02	TC1A02		0	0	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG06	LG06	0	79.9	TT_ICGS76_x_CSMG84-1_a_LG06_RN34H10	RN34H10		0.3	0.3	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG06	LG06	0	79.9	TT_ICGS76_x_CSMG84-1_a_LG06_TC11A04	TC11A04		0.3	0.3	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG06	LG06	0	79.9	TT_ICGS76_x_CSMG84-1_a_LG06_IPAHM509	IPAHM509		3.1	3.1	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG06	LG06	0	79.9	TT_ICGS76_x_CSMG84-1_a_LG06_TC7C06	TC7C06		3.1	3.1	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG06	LG06	0	79.9	TT_ICGS76_x_CSMG84-1_a_LG06_Ah4-101	Ah4-101		26.7	26.7	SSR			0	
TT_ICGS76_x_CSMG84-1_a_LG06	LG06	0	79.9	TT_ICGS76_x_CSMG84-1_a_LG06_GM2536	GM2536		36.3	36.3	SSR			0	
