map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_VG9514_x_TAG24_a_A01	A01	0	81	TT_VG9514_x_TAG24_a_A01_Ah3	Ah3		0	0	SSR			0	
TT_VG9514_x_TAG24_a_A01	A01	0	81	TT_VG9514_x_TAG24_a_A01_pPGPseq_8E12	pPGPseq_8E12		10.9	10.9	SSR			0	
TT_VG9514_x_TAG24_a_A01	A01	0	81	TT_VG9514_x_TAG24_a_A01_TE0499	TE0499		16	16	transposon			0	
TT_VG9514_x_TAG24_a_A01	A01	0	81	TT_VG9514_x_TAG24_a_A01_TC3H02	TC3H02	GM38	32.7	32.7	SSR			0	
TT_VG9514_x_TAG24_a_A01	A01	0	81	TT_VG9514_x_TAG24_a_A01_pPGPseq_16F10	pPGPseq_16F10		76.9	76.9	SSR			0	
TT_VG9514_x_TAG24_a_A01	A01	0	81	TT_VG9514_x_TAG24_a_A01_TE0233	TE0233		79.5	79.5	transposon			0	
TT_VG9514_x_TAG24_a_A01	A01	0	81	TT_VG9514_x_TAG24_a_A01_TC2D06	TC2D06	GM22	80.1	80.1	SSR			0	
TT_VG9514_x_TAG24_a_A01	A01	0	81	TT_VG9514_x_TAG24_a_A01_SSR_FI500754	SSR_FI500754		80.4	80.4	SSR			0	
TT_VG9514_x_TAG24_a_A01	A01	0	81	TT_VG9514_x_TAG24_a_A01_ARS731	ARS731		81	81	SSR			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_plhabit	plhabit	plant habit (VB/SB)	0	0	morphological			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_Groundnut bruchid antibiosis 1-1	Groundnut bruchid antibiosis 1-1	qAE2010-a02,qAE2010/11-a02	15.5	16.5	QTL_insect			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_color	color	testa color (rose/red)	15.6	15.6	morphological			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_S93	S93		25.6	25.6	SSR			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_TC1E01	TC1E01	GM9	44.8	44.8	SSR			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_S89	S89		56.2	56.2	SSR			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_TC11D09	TC11D09		66.2	66.2	SSR			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_TE0491	TE0491		96.9	96.9	transposon			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_Groundnut bruchid 1-1	Groundnut bruchid 1-1	qNH2011-a02	104.8	109.2	QTL_insect			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_Groundnut bruchid 1-6	Groundnut bruchid 1-6	qPWL2011-a02	105.7	108.3	QTL_insect			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_PM179	PM179	GM346	106.9	106.9	SSR			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_TE0296	TE0296		108.4	108.4	transposon			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_TE0245	TE0245		113.9	113.9	transposon			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_ARS748	ARS748		125.7	125.7	SSR			0	
TT_VG9514_x_TAG24_a_A02	A02	0	225.6	TT_VG9514_x_TAG24_a_A02_AHBGS21003A02	AHBGS21003A02		178.3	178.3	SSR			0	
