map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM1187	GM1187		0	0	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM2308	GM2308		1.395	1.395	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM1565	GM1565		5.674	5.674	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM1531	GM1531		16.697	16.697	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM2233	GM2233		22.509	22.509	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_IPAHM287	IPAHM287		26.131	26.131	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM687	GM687		26.546	26.546	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_pPGSseq13A07	pPGSseq13A07		28.605	28.605	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM1090	GM1090		34.863	34.863	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM1501	GM1501		36.907	36.907	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM1771	GM1771		48.165	48.165	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM2724a	GM2724a		50.018	50.018	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhI	AhI	0	52.912	TT_AhComposite_SujayGowda2012_a_AhI_GM1971a	GM1971a		52.912	52.912	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhII	AhII	0	63.37	TT_AhComposite_SujayGowda2012_a_AhII_TC1E01	TC1E01		0	0	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhII	AhII	0	63.37	TT_AhComposite_SujayGowda2012_a_AhII_PM73	PM73		10.224	10.224	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhII	AhII	0	63.37	TT_AhComposite_SujayGowda2012_a_AhII_PM499	PM499		20.444	20.444	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhII	AhII	0	63.37	TT_AhComposite_SujayGowda2012_a_AhII_pPGPseq1B09	pPGPseq1B09		23.266	23.266	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhII	AhII	0	63.37	TT_AhComposite_SujayGowda2012_a_AhII_pPGPseq2D12B	pPGPseq2D12B		29.906	29.906	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhII	AhII	0	63.37	TT_AhComposite_SujayGowda2012_a_AhII_TC9F04	TC9F04		42.742	42.742	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhII	AhII	0	63.37	TT_AhComposite_SujayGowda2012_a_AhII_TC1B02	TC1B02		56.916	56.916	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhII	AhII	0	63.37	TT_AhComposite_SujayGowda2012_a_AhII_pPGSseq18E07	pPGSseq18E07		63.37	63.37	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_GM2691	GM2691		0	0	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_pPGSseq19D09	pPGSseq19D09		2.253	2.253	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_TC7E04	TC7E04		12.517	12.517	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_pPGSseq19G07	pPGSseq19G07		19.814	19.814	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_PM3	PM3		25.815	25.815	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_PM434	PM434		26.822	26.822	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_TC4F02	TC4F02		28.502	28.502	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_pPGSseq18A05	pPGSseq18A05		29.932	29.932	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_pPGSseq18A05b	pPGSseq18A05b		31.31	31.31	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_GM745	GM745		31.87	31.87	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_Ah-4-04	Ah-4-04		32.113	32.113	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_GM1717	GM1717		33.201	33.201	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_AC3D07	AC3D07		34.624	34.624	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_GM2215	GM2215		37.272	37.272	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_pPGSseq13E06	pPGSseq13E06		45.114	45.114	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_GM2206	GM2206		47.991	47.991	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIII	AhIII	0	51.307	TT_AhComposite_SujayGowda2012_a_AhIII_TC2C07	TC2C07		51.307	51.307	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_PM418	PM418		0	0	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_PM183	PM183		10.791	10.791	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_PM50	PM50		15.542	15.542	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_TC11B04	TC11B04		20.067	20.067	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_IPAHM282	IPAHM282		23.837	23.837	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_PM36	PM36		25.515	25.515	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_TC1D12	TC1D12		29.105	29.105	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_GM1555	GM1555		31.831	31.831	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_IPAHM272	IPAHM272		33.06	33.06	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_pPGSseq19D06	pPGSseq19D06		39.863	39.863	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_GM1641	GM1641		41.799	41.799	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_IPAHM75	IPAHM75		45.61	45.61	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_GM2084	GM2084		52.031	52.031	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_IPAHM352	IPAHM352		55.464	55.464	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhIV	AhIV	0	60.972	TT_AhComposite_SujayGowda2012_a_AhIV_TC1G04	TC1G04		60.972	60.972	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhV	AhV	0	41.971	TT_AhComposite_SujayGowda2012_a_AhV_GM1878	GM1878		0	0	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhV	AhV	0	41.971	TT_AhComposite_SujayGowda2012_a_AhV_RN16F05	RN16F05		2.679	2.679	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhV	AhV	0	41.971	TT_AhComposite_SujayGowda2012_a_AhV_IPAHM356	IPAHM356		8.239	8.239	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhV	AhV	0	41.971	TT_AhComposite_SujayGowda2012_a_AhV_GM1577	GM1577		10.592	10.592	SSR			0	
TT_AhComposite_SujayGowda2012_a_AhV	AhV	0	41.971	TT_AhComposite_SujayGowda2012_a_AhV_TC3A12	TC3A12		16.046	16.046	SSR			0	
