map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_4_1_0052_tblastx	VuMucheroUCRiverside2009_4_1_0052		44480852	44481043	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_9_1_1337_tblastx	VuMucheroUCRiverside2009_9_1_1337		41176044	41176280	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_4_1_0128_tblastx	VuMucheroUCRiverside2009_4_1_0128		46765072	46765305	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_MtYoungUMinn2006_8_CDC16_tblastx	MtYoungUMinn2006_8_CDC16		8124055	8124297	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_8_1_0241_tblastx	VuMucheroUCRiverside2009_8_1_0241		83483682	83483882	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_10_1_0682_tblastx	VuMucheroUCRiverside2009_10_1_0682		88014950	88015192	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_10_1_1520_tblastx	VuMucheroUCRiverside2009_10_1_1520		9050162	9050563	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_7_1_0370_tblastx	VuMucheroUCRiverside2009_7_1_0370		66407989	66408963	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_3_1_0718_tblastx	VuMucheroUCRiverside2009_3_1_0718		81982681	81983493	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_10_1_0420_tblastx	VuMucheroUCRiverside2009_10_1_0420		13733071	13733460	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_10_1_0368_tblastx	VuMucheroUCRiverside2009_10_1_0368		13503207	13503368	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_PvMcCleanNDSU2007_11_g1731_tblastx	PvMcCleanNDSU2007_11_g1731		63098885	63099259	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_9_1_0377_tblastx	VuMucheroUCRiverside2009_9_1_0377		83946144	83946386	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_4_1_0397_tblastx	VuMucheroUCRiverside2009_4_1_0397		88278982	88279506	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_2_1_1230_tblastx	VuMucheroUCRiverside2009_2_1_1230		50955285	50955653	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_MtYoungUMinn2006_8_AW256656_tblastx	MtYoungUMinn2006_8_AW256656		64004058	64004291	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_9_1_1291_tblastx	VuMucheroUCRiverside2009_9_1_1291		78124712	78124846	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_1_1_1420_tblastx	VuMucheroUCRiverside2009_1_1_1420		78274504	78274710	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_MtYoungUMinn2006_4_AW257289_tblastx	MtYoungUMinn2006_4_AW257289		35706406	35706891	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_PvMcCleanNDSU2007_5_g292_tblastx	PvMcCleanNDSU2007_5_g292		15055137	15055517	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_MtYoungUMinn2006_2_ACL_tblastx	MtYoungUMinn2006_2_ACL		16521602	16521721	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_MtYoungUMinn2006_4_EPS_tblastx	MtYoungUMinn2006_4_EPS		66403038	66403163	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_10_1_0754_tblastx	VuMucheroUCRiverside2009_10_1_0754		33683587	33684348	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_3_1_0204_tblastx	VuMucheroUCRiverside2009_3_1_0204		47797568	47798401	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_MtYoungUMinn2006_1_BE325390_tblastx	MtYoungUMinn2006_1_BE325390		28985213	28985374	Marker			0	
LjKazusa200905_LjChr3	LjChr3	0	89974019	LjKazusa200905_LjChr3_VuMucheroUCRiverside2009_11_1_0033_tblastx	VuMucheroUCRiverside2009_11_1_0033		37990981	37991103	Marker			0	
