map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP770	SNP770	DurSNP_c4841	0	0	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_RGC108b	RGC108b		0.316	0.316	SSR			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP1012	SNP1012	DurSNP_c8783	0.316	0.316	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP1063	SNP1063	DurSNP_c9879	0.316	0.316	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP716	SNP716	DurSNP_c4214	5.177	5.177	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP370	SNP370	DurSNP_c1383	5.629	5.629	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP984	SNP984	DurSNP_c8194	5.629	5.629	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP1035	SNP1035	DurSNP_c9263	8.211	8.211	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_GM24	GM24	Ah1TC2E05	9.333	9.333	SSR			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_GM1030	GM1030	CL1Contig9479	12.848	12.848	SSR			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_GM825	GM825	Tifrunner.VBL6_27_H24_E001.g1	12.848	12.848	SSR			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP25	SNP25	Ah2n_TOG895448_2_002_00001_Jan09_556,TOG895448	15.128	15.128	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP850	SNP850	DurSNP_c5831	15.48	15.48	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP308	SNP308	DurSNP_c12076	15.964	15.964	SNP			0	
AA_A.duranensis_x_A.duranensis_a_A01	A01	0	96.824	AA_A.duranensis_x_A.duranensis_a_A01_SNP415	SNP415	DurSNP_c1562	18.369	18.369	SNP			0	
