map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG896979_2	Ah2n_TOG896979_2	TOG896979	0	0	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG894064_1	Ah2n_TOG894064_1	TOG894064	4.98	4.98	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG908504_1	Ah2n_TOG908504_1	TOG908504	5.62	5.62	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG907173_1	Ah2n_TOG907173_1	TOG907173	5.95	5.95	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG896202_2	Ah2n_TOG896202_2	TOG896202	6.26	6.26	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG898832_1	Ah2n_TOG898832_1	TOG898832	6.26	6.26	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG901858_2	Ah2n_TOG901858_2	TOG901858	6.26	6.26	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG929069_1	Ah2n_TOG929069_1	TOG929069	6.26	6.26	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG910616_1	Ah2n_TOG910616_1	TOG910616	6.9	6.9	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG894351_1	Ah2n_TOG894351_1	TOG894351	8.59	8.59	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG900398_2	Ah2n_TOG900398_2	TOG900398	18.81	18.81	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG894933_2	Ah2n_TOG894933_2	TOG894933	20.73	20.73	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG906607_1	Ah2n_TOG906607_1	TOG906607	23.91	23.91	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG894965_2	Ah2n_TOG894965_2	TOG894965	32.74	32.74	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG897521_1	Ah2n_TOG897521_1	TOG897521	42.68	42.68	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG905231_2	Ah2n_TOG905231_2	TOG905231	53.21	53.21	SNP			0	
AA_A.duranensis_x_A.stenosperma_e_LG01	LG01	0	74.77	AA_A.duranensis_x_A.stenosperma_e_LG01_Ah2n_TOG898376_2	Ah2n_TOG898376_2	TOG898376	56.81	56.81	SNP			0	
