map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AhTE1000	AhTE1000		0	0	transposon			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHGS1403_c1	AHGS1403_c1		17.63	17.63	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHGS1991_c1	AHGS1991_c1		31.566	31.566	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHGS1895	AHGS1895		31.737	31.737	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHS3060_c1	AHS3060_c1		32.249	32.249	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHS0971	AHS0971		35.704	35.704	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_TC2E05_c1	TC2E05_c1	GM24	40.524	40.524	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_gi919	gi919		43.63	43.63	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AhTE0347_c1	AhTE0347_c1		44.992	44.992	transposon			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHGS2027_c1	AHGS2027_c1		47.218	47.218	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_IPAHM287_c1	IPAHM287_c1		47.68	47.68	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHGS0219	AHGS0219		49.378	49.378	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AhTE1030	AhTE1030		52.697	52.697	transposon			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AhTE0986	AhTE0986		54.803	54.803	transposon			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHS1326	AHS1326		56.252	56.252	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHS0626_c1	AHS0626_c1		56.839	56.839	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHS2206	AHS2206		58.668	58.668	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AhTE0294	AhTE0294		60.445	60.445	transposon			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AhTE0188	AhTE0188		60.886	60.886	transposon			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_RN25H06	RN25H06		61.488	61.488	SSR			0	
TT_AhConsensus_ShirasawaBertioli2013_a_A01	A01	0	183.767	TT_AhConsensus_ShirasawaBertioli2013_a_A01_AHGS2167_c1	AHGS2167_c1		62.722	62.722	SSR			0	
