map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_RN17F12	RN17F12	AS1RN17F12	0	0	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Ah3	Ah3		8.1	8.1	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_TC3H02	TC3H02	Ah1TC3H02	19.6	19.6	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Ap166	Ap166		33.2	33.2	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_P18M60-1	P18M60-1		51.1	51.1	AFLP			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_P21M36-9	P21M36-9		58	58	AFLP			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_P19M42-6	P19M42-6		68.2	68.2	AFLP			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Seq2H11	Seq2H11	pPGPSeq2H11	78	78	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_TC9B12	TC9B12	Ah1TC9B12	82	82	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_AS1RN7G02	AS1RN7G02		92.8	92.8	SNP			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_P18M45-15	P18M45-15		98.8	98.8	AFLP			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_P22M34-5	P22M34-5	P22M34-6.codominant	103.1	103.1	AFLP			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_P18M45-17	P18M45-17		110.3	110.3	AFLP			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_P13M49-9	P13M49-9		113.2	113.2	AFLP			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_P18M44-6	P18M44-6		119.7	119.7	AFLP			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Leg304	Leg304		130.3	130.3	marker			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Ah-594	Ah-594		149.3	149.3	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_TC9B08	TC9B08	Ah1TC9B08	152.1	152.1	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Ah-700	Ah-700		155.4	155.4	SSR			1	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Ah-745_1	Ah-745_1		162.7	162.7	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_RN9A05	RN9A05	AS1RN23A07,AS1RN31C05,AS1RN9A05,RN23A07	181.6	181.6	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Seq3E05	Seq3E05	pPGPSeq3E05	193.6	193.6	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Seq4C01	Seq4C01	pPGPSeq4C01	200.3	200.3	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Seq2D01	Seq2D01	pPGPSeq2D01	205.9	205.9	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Leg178	Leg178		212.7	212.7	CAPS			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Seq15D06_1	Seq15D06_1	pPGSSeq15D06	212.7	212.7	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Seq12B02	Seq12B02	pPGSSeq12B02	213.6	213.6	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Ah21	Ah21		217.1	217.1	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Ah2	Ah2		217.7	217.7	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Ah-193	Ah-193		219.3	219.3	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Ap14	Ap14		219.3	219.3	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_RN11E05	RN11E05	AS1RN11E05	220.3	220.3	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Leg047	Leg047		221.6	221.6	CAPS			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_TC2E11	TC2E11	Ah1TC2E11	223.3	223.3	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_Leg187	Leg187		227.5	227.5	CAPS			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_TC7H09_1	TC7H09_1	Ah1TC7H09,TC7H09	239.5	239.5	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_TC1D01_1	TC1D01_1	Ah1TC1D01	250.1	250.1	SSR			0	
AA_A.duranensis_x_A.stenosperma_a_A01	A01	0	417.4	AA_A.duranensis_x_A.stenosperma_a_A01_TC2D06	TC2D06	Ah1TC2D06	260.2	260.2	SSR			0	
