map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_201_TOG923729_2_112	3_201_TOG923729_2_112	TOG923729	0	0	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_4_285_TOG912303_2_808	4_285_TOG912303_2_808	TOG912303	0.65	0.65	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_063_TOG910796_1_666	3_063_TOG910796_1_666	TOG910796	0.65	0.65	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_253_TOG910796_1_157	3_253_TOG910796_1_157	TOG910796	0.65	0.65	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_051_TOG900394_1_416	3_051_TOG900394_1_416	TOG900394	3.3	3.3	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_218_TOG899998_1_518	3_218_TOG899998_1_518	TOG899998	3.63	3.63	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_4_086_TOG899049_1_505	4_086_TOG899049_1_505	TOG899049	3.63	3.63	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_339_TOG900190_1_520	3_339_TOG900190_1_520	TOG900190	3.96	3.96	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_374_TOG913108_2_454	3_374_TOG913108_2_454	TOG913108	5.95	5.95	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_095_TOG898437_2_407	3_095_TOG898437_2_407	TOG898437	13.4	13.4	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_4_249_TOG896366_2_494	4_249_TOG896366_2_494	TOG896366	15.37	15.37	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_4_063_TOG896252_2_581	4_063_TOG896252_2_581	TOG896252	19.68	19.68	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_4_115_TOG898816_1_274	4_115_TOG898816_1_274	TOG898816	19.68	19.68	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_4_139_TOG896252_2_120	4_139_TOG896252_2_120	TOG896252	19.68	19.68	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_375_TOG898489_1_217	3_375_TOG898489_1_217	TOG898489	20.66	20.66	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_245_TOG897350_2_663	3_245_TOG897350_2_663	TOG897350	21.97	21.97	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_240_TOG897350_2_350	3_240_TOG897350_2_350	TOG897350	22.3	22.3	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_166_TOG915277_2_1160	3_166_TOG915277_2_1160	TOG915277	23.62	23.62	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_084_TOG946813_1_149	3_084_TOG946813_1_149	TOG946813	28.62	28.62	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_133_TOG894927_1_480	3_133_TOG894927_1_480	TOG894927	29.27	29.27	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_129_TOG915884_2_371	3_129_TOG915884_2_371	TOG915884	29.27	29.27	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_070_TOG918891_1_681	3_070_TOG918891_1_681	TOG918891	29.92	29.92	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_001_TOG902476_1_724	3_001_TOG902476_1_724	TOG902476	29.92	29.92	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_269_TOG894669_2_153	3_269_TOG894669_2_153	TOG894669	29.92	29.92	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_168_TOG895666_1_341	3_168_TOG895666_1_341	TOG895666	30.25	30.25	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_3_206_TOG902883_1_507	3_206_TOG902883_1_507	TOG902883	30.58	30.58	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_4_049_TOG894632_1_204	4_049_TOG894632_1_204	TOG894632	32.54	32.54	SNP			0	
VuCookUCDavis2009_VuLG01	VuLG01	0	70.36	VuCookUCDavis2009_VuLG01_4_181_TOG894632_1_86	4_181_TOG894632_1_86	TOG894632	32.54	32.54	SNP			0	
