map_acc	map_name	map_start	map_stop	feature_acc	feature_name	feature_aliases	feature_start	feature_stop	feature_type_acc	feature_dbxref_name	feature_dbxref_url	is_landmark	feature_attributes
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_prs461	prs461		0	0	EST			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS1632	RCS1632		9.94	9.94	SSR-enriched-cDNA			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_ats054	ats054		12.47	12.47	SSR-enriched-genomic			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS4903	RCS4903		15.46	15.46	EST			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_prs426	prs426		18.59	18.59	EST			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_Mt1E04(2)	Mt1E04(2)		22.15	22.15	SSR-BAC			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS5744	RCS5744		24.65	24.65	SSR-enriched-genomic			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS4472	RCS4472		26.54	26.54	EST			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_ats002	ats002		30.33	30.33	SSR-enriched-genomic			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS1547	RCS1547		36.19	36.19	SSR-enriched-genomic			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS4104	RCS4104		37.02	37.02	EST			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS1628	RCS1628		39.17	39.17	SSR-enriched-cDNA			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS3828	RCS3828		46.76	46.76	EST			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS0889	RCS0889		50.96	50.96	SSR-enriched-genomic			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS1333	RCS1333		52.35	52.35	SSR-enriched-cDNA			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_BF258	BF258		63.32	63.32	EST			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS1479	RCS1479		63.5	63.5	SSR-enriched-cDNA			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_RCS2874	RCS2874		64.48	64.48	SSR-enriched-genomic			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_TRSSRB03C01	TRSSRB03C01		69.16	69.16	SSR-enriched-genomic			0	
TrZhang2007_A1	A1	0	155.14	TrZhang2007_A1_TRSSRB02G07	TRSSRB02G07		70.83	70.83	SSR-enriched-genomic			0	
